source,name,category,address,district,postal_code,phone,email,website,lon,lat,raw_id
datagv,,,"07., Bandgasse 4",7,,,,http://www.brillantengrund.com,16.34607701,48.20079407,404113
datagv,,,"06., Papagenogasse 6",6,,,,https://www.hotel-beethoven.at/,16.36423901,48.20006407,404114
datagv,,,"01., Petersplatz 9",1,,,,http://www.hotel-wandl.com,16.37037601,48.20970307,404115
datagv,,,"07., Halbgasse 3-5",7,,,,https://hoteltheweekend.at/,16.34153901,48.20330407,404116
datagv,,,"01., Opernring 11",1,,,,https://o11-hotel.com/,16.36692301,48.20268207,404117
datagv,,,"01., Philharmonikerstraße 4",1,,,,https://www.sacher.com/de/wien/,16.369552,48.20394707,404118
datagv,,,"04., Favoritenstraße 52",4,,,,https://www.marriott.com/en-us/hotels/viehx-four-points-flex-vienna-hauptbahnhof/overview/,16.372223,48.18931507,404119
datagv,,,"02., Franzensbrückenstraße 26",2,,,,https://all.accor.com/hotel/B1C2/index.de.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps,16.39100001,48.21452007,404120
datagv,,,"09., Viriotgasse 5",9,,,,https://ana-hotels.com/gala-wien,16.35520601,48.23066207,404121
datagv,,,"04., Theresianumgasse 35",4,,,,https://www.graetzlhotel.com/de/belvedere,16.3765001,48.18895597,404122
datagv,,,"01., Vorlaufstraße 3",1,,,,https://www.my-place.at,16.37262901,48.21253407,404123
datagv,,,"15., Felberstraße 20",15,,,,http://www.dostepinn.at,16.33420101,48.19725407,404124
datagv,,,"12., Hoffingerg. 33/Ecke Oswaldgasse 69",12,,,,https://vienna-altmannsdorf.kyriad.com/en-us/,16.32309601,48.16382407,404125
datagv,,,"10., Gudrunstraße 138",10,,,,http://www.hotelcaroline.at,16.37205201,48.17856407,404126
datagv,,,"06., Mariahilfer Gürtel 22-24",6,,,,https://ibis-wien-mariahilf.meinhotel.top/,16.33916801,48.19308407,404127
datagv,,,"06., Webgasse 23",6,,,,https://www.elaya-hotels.com/vienna-city-west/,16.34627901,48.19454307,404128
