source,name,address,district,lat,lon,property_type,operator_name,host_id,host_listings_count,website,phone,email,raw_id,name_norm,sources,hotel_chain
airbnb,01 Home away from home,,Margareten,48.18816,16.35694,Entire rental unit,Ben,1441217,7.0,https://www.airbnb.com/rooms/32687032,,,32687032,01 home away from home,airbnb,
airbnb,02 Viennese vibe in private room,,Hernals,48.21596849319566,16.336644864932232,Private room in rental unit,Vera,473052793,25.0,https://www.airbnb.com/rooms/1374646362358204246,,,1374646362358204246,02 viennese vibe in private room,airbnb,
airbnb,02 Your home away from home,,Margareten,48.18696449999999,16.3576207,Entire rental unit,Atef,2206706,4.0,https://www.airbnb.com/rooms/933795298450498735,,,933795298450498735,02 your home away from home,airbnb,
airbnb,03 Stadtperle,,Margareten,48.18376163242533,16.351864046557626,Entire rental unit,Atef,2206706,4.0,https://www.airbnb.com/rooms/1148635971289981722,,,1148635971289981722,03 stadtperle,airbnb,
airbnb,03 Viennese vibe in private room,,Hernals,48.217789445885685,16.33789072644393,Private room in rental unit,Vera,473052793,25.0,https://www.airbnb.com/rooms/1374634365309198287,,,1374634365309198287,03 viennese vibe in private room,airbnb,
airbnb,04 Vienna city pearl,,Margareten,48.18416,16.35327,Entire rental unit,Ben,1441217,7.0,https://www.airbnb.com/rooms/23440817,,,23440817,04 vienna city pearl,airbnb,
airbnb,04 Viennese vibe in private room,,Hernals,48.21723639651479,16.33859737802478,Private room in rental unit,Vera,473052793,25.0,https://www.airbnb.com/rooms/1374643075049649734,,,1374643075049649734,04 viennese vibe in private room,airbnb,
airbnb,维也纳市中心近 1-3人房 （德英中服务）,,Landstra§e,48.2007,16.39837,Entire condo,Nina,33900000,1.0,https://www.airbnb.com/rooms/747535758568766836,,,747535758568766836,1 3,airbnb,
airbnb,1 /5 Zimmer Wohnung näher Schönbrunn,,Rudolfsheim-Fnfhaus,48.18979,16.32373,Entire rental unit,Yasmin,228371513,1.0,https://www.airbnb.com/rooms/30415510,,,30415510,1 5 zimmer wohnung naher schonbrunn,airbnb,
airbnb,1-6 Monate AKH Ruhelage,,Whring,48.221441655356976,16.341573066270456,Entire rental unit,Conrad,61399914,1.0,https://www.airbnb.com/rooms/1404923115208318243,,,1404923115208318243,1 6 monate akh ruhelage,airbnb,
airbnb,1 Apt. & 5 Aparthotels for Groups | by Mariahilfer,,Mariahilf,48.1956,16.3455,Entire rental unit,Souhad,156404033,85.0,https://www.airbnb.com/rooms/1439745075379968276,,,1439745075379968276,1 apt 5 aparthotels for groups by mariahilfer,airbnb,
airbnb,1 bed in 4-6 people mixed shared room,,Rudolfsheim-Fnfhaus,48.196735,16.337521,Shared room in hostel,Jo&Joe,396597805,11.0,https://www.airbnb.com/rooms/49868560,,,49868560,1 bed in 4 6 people mixed shared room,airbnb,
airbnb,1 Bed in a male-only 8-bed dorm,,Rudolfsheim-Fnfhaus,48.19579,16.33797,Shared room in hostel,Jo&Joe,396597805,11.0,https://www.airbnb.com/rooms/1477548107726626822,,,1477548107726626822,1 bed in a male only 8 bed dorm,airbnb,
