source,granularity,name,address,district,lat,lon,unit_type,operator_name,operator_name_source,host_id,host_listings_count,website,picture_url,phone,email,raw_id,name_norm,domain,source_names,source_record_ids,merge_confidence,canonical_id,linked_establishment_id,linked_establishment_confidence,linked_establishment_evidence,candidate_establishment_id,candidate_establishment_distance_m,candidate_establishment_evidence,operator_name_normalized,operator_identity_confidence,unit_type_normalized,hotel_chain,operator_type,embedding_score_raw,embedding_score,embedding_suggestion
airbnb,listing,Stadtpark Living 7#,Landstra§e,Landstraße,48.1918868315988,16.3887506883606,Entire rental unit,Joachim,airbnb_host,511689935.0,73.0,https://www.airbnb.com/rooms/1430930725023045381,https://a0.muscache.com/pictures/miso/Hosting-1430930725023045381/original/42d4811f-1b61-48a2-a999-0efabfe416dc.jpeg,,,airbnb:1430930725023045381,stadtpark living 7,airbnb.com,airbnb,airbnb:1430930725023045381,single,d1b319fc-3310-4b72-bf42-eef2443d2729,,,,7a4e5e25-caa1-4104-9ea2-a7b367e81c81,21.17,distance<=21m,joachim,high,apartment,,multi_listing,-1.1561574935913086,1.0,strong_review
airbnb,listing,ArtApartment near Stephansplatz Stylish 2 BR AC,Innere Stadt,Innere Stadt,48.20972889999999,16.3724275,Entire rental unit,Johannes,airbnb_host,63774799.0,1.0,https://www.airbnb.com/rooms/1174571830990377344,https://a0.muscache.com/pictures/miso/Hosting-1174571830990377344/original/926fb5f1-9d74-43fc-86a3-b444493e2e10.jpeg,,,airbnb:1174571830990377344,artapartment near stephansplatz stylish 2 br ac,airbnb.com,airbnb,airbnb:1174571830990377344,single,d06adf5a-def4-4407-bb53-46d7319b6a90,,,,484a426f-7d32-4178-a260-3c600ccc4846,20.77,distance<=21m + token_overlap=stephansplatz,johannes,high,apartment,,single_property,-1.1601428985595703,0.9955548369734598,strong_review
airbnb,listing,"Blueground | Landstraße, elev, nr Central Station",Landstra§e,Landstraße,48.19176419999999,16.3883795,Entire rental unit,Blueground,airbnb_host,385064248.0,398.0,https://www.airbnb.com/rooms/704905331039495198,https://a0.muscache.com/pictures/prohost-api/Hosting-704905331039495198/original/15a6f7f0-d5e1-4fef-94ba-1984f79593af.jpeg,,,airbnb:704905331039495198,blueground landstra e elev nr central station,airbnb.com,airbnb,airbnb:704905331039495198,single,d4736edc-906d-4b36-b803-6f3957d7ae6c,,,,7a4e5e25-caa1-4104-9ea2-a7b367e81c81,18.43,distance<=18m,blueground,high,apartment,,multi_listing,-1.2021284103393555,0.9487258582121701,strong_review
airbnb,listing,"Beautiful, quiet Studio close to Center (KÖL)",Landstra§e,Landstraße,48.19154,16.38902,Entire rental unit,Ray & Armine,airbnb_host,130740696.0,15.0,https://www.airbnb.com/rooms/18785352,https://a0.muscache.com/pictures/cc8492df-3e14-4733-955f-ddab5bf8793f.jpg,,,airbnb:18785352,beautiful quiet studio close to center kol,airbnb.com,airbnb,airbnb:18785352,single,3a943c23-6d9e-4569-919f-e11e31cad875,,,,7a4e5e25-caa1-4104-9ea2-a7b367e81c81,35.76,distance<=36m,ray armine,high,apartment,,multi_listing,-1.2600064277648926,0.8841710074107324,strong_review
airbnb,listing,Riverside Executive Apartment mit Flussblick,Alsergrund,Alsergrund,48.232,16.3613,Entire serviced apartment,Amadeus,airbnb_host,388009441.0,13.0,https://www.airbnb.com/rooms/1254203742094815320,https://a0.muscache.com/pictures/miso/Hosting-1254203742094815320/original/78d09ce2-23c9-40bd-be4c-260780beee58.jpeg,,,airbnb:1254203742094815320,riverside executive apartment mit flussblick,airbnb.com,airbnb,airbnb:1254203742094815320,single,3b9b0719-27cc-421b-8fcc-400d14b55952,,,,7fa65744-7f0c-48ae-84f0-31793201fbfe,16.45,distance<=16m,amadeus,high,apartment,,multi_listing,-1.277395248413086,0.8647762048157528,strong_review
airbnb,listing,Generous Apartment Opera,Innere Stadt,Innere Stadt,48.20339,16.37128,Entire rental unit,Katharina,airbnb_host,178599598.0,3.0,https://www.airbnb.com/rooms/23953650,https://a0.muscache.com/pictures/miso/Hosting-23953650/original/ef72df04-b81a-413a-9466-756e56d54507.jpeg,,,airbnb:23953650,generous apartment opera,airbnb.com,airbnb,airbnb:23953650,single,20ac8649-f236-4f8b-9fd2-ebb61113116d,,,,4bf655b9-c6b4-45be-b2b2-cf7f5e6ad6de,12.25,distance<=12m,katharina,high,apartment,,single_property,-1.2965401411056519,0.8434227489381708,strong_review
airbnb,listing,Boutique-Hotel Nossek Komfort-Suite,Innere Stadt,Innere Stadt,48.20798,16.36899,Private room in bed and breakfast,Boutique Hotel,airbnb_host,410304110.0,4.0,https://www.airbnb.com/rooms/50783205,https://a0.muscache.com/pictures/prohost-api/Hosting-50783205/original/035056e2-a597-4d8c-9edf-98d2554707f6.jpeg,,,airbnb:50783205,boutique hotel nossek komfort suite,airbnb.com,airbnb,airbnb:50783205,single,eb6e964c-ed45-4966-9f3b-6e617a68b686,,,,5b89a212-634d-4a9d-8e86-75ea3ca6a082,31.95,distance<=32m,boutique hotel,high,guest_house,,multi_listing,-1.2992298603057861,0.8404227425560272,strong_review
airbnb,listing,STYLISH LOFT APARTMENT IN THE HEART OF VIENNA,Neubau,Neubau,48.20335388183594,16.35614013671875,Entire rental unit,Tina,airbnb_host,314982213.0,4.0,https://www.airbnb.com/rooms/40628453,https://a0.muscache.com/pictures/bb4b27e5-bff4-4a98-83f7-f4882a55d440.jpg,,,airbnb:40628453,stylish loft apartment in the heart of vienna,airbnb.com,airbnb,airbnb:40628453,single,d296fc1f-5ed0-4c5f-a5de-934bfb98787a,,,,b4ee851e-c0aa-4d07-b878-eeb13d722ecb,25.17,distance<=25m,tina,high,apartment,,multi_listing,-1.3063973188400269,0.8324284428739643,strong_review
airbnb,listing,2 Bedrooms Apart near Mariahilferstraße,Rudolfsheim-Fnfhaus,Rudolfsheim-Fünfhaus,48.19489,16.33758,Entire rental unit,Ting Hsuan,airbnb_host,151926955.0,11.0,https://www.airbnb.com/rooms/49491573,https://a0.muscache.com/pictures/prohost-api/Hosting-49491573/original/f5892e40-62d5-4913-ab55-392354f27af8.jpeg,,,airbnb:49491573,2 bedrooms apart near mariahilferstra e,airbnb.com,airbnb,airbnb:49491573,single,b4a4a9ea-9ffc-498b-9914-71ed4a11b857,,,,0f34d578-9fa9-42ef-a45c-e708565eb102,34.73,distance<=35m,ting hsuan,high,apartment,,multi_listing,-1.31269109249115,0.8254086167448302,strong_review
airbnb,listing,Gemütliches Zimmer in schöner Lage,Alsergrund,Alsergrund,48.2213051,16.3505886,Private room in rental unit,Aron,airbnb_host,394414538.0,1.0,https://www.airbnb.com/rooms/1192547529154498171,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE5MjU0NzUyOTE1NDQ5ODE3MQ%3D%3D/original/e2b5d16e-edb8-4aec-b2a9-9ac9241fcaa8.jpeg,,,airbnb:1192547529154498171,gemutliches zimmer in schoner lage,airbnb.com,airbnb,airbnb:1192547529154498171,single,f998c01d-481b-47d9-bb55-0e0f54a1aae9,,,,c6e74917-e2ff-4c60-9c5b-cd967bc333c5,30.13,distance<=30m,aron,high,apartment,,single_property,-1.345013976097107,0.7893569511649008,review
